
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_3_(0),1000,4,3,8000,5,5,3,3,1147,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_3_(1),1000,4,3,8000,5,5,3,3,1236,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_3_(2),1000,4,3,8000,5,5,3,3,1886,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_3_(3),1000,4,3,8000,5,5,3,3,1819,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_3_(4),1000,4,3,8000,5,5,3,3,1819,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_3_(5),1000,4,3,8000,5,5,3,3,1235,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_3_(6),1000,4,3,8000,5,5,3,3,1959,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_3_(7),1000,4,3,8000,5,5,3,3,1115,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_3_(8),1000,4,3,8000,5,5,3,3,1869,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_3_(9),1000,4,3,8000,5,5,3,3,1833,1
