
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1500_4_4_(0),1500,5,4,12000,6,6,4,4,2483,1
1500_4_4_(1),1500,5,4,12000,6,6,4,4,4344,1
1500_4_4_(2),1500,5,4,12000,6,6,4,4,4529,1
1500_4_4_(3),1500,5,4,12000,6,6,4,4,2518,1
1500_4_4_(4),1500,5,4,12000,6,6,4,4,2534,1
1500_4_4_(5),1500,5,4,12000,6,6,4,4,2531,1
1500_4_4_(6),1500,5,4,12000,6,6,4,4,2403,1
1500_4_4_(7),1500,5,4,12000,6,6,4,4,2558,1
1500_4_4_(8),1500,5,4,12000,6,6,4,4,4744,1
1500_4_4_(9),1500,5,4,12000,6,6,4,4,2485,1
