
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1750_N8IloCplex23DisjunctiveCutCallbackIE5_8_(0),1750,6,5,13500,9,9,8,8,3830,1
1750_N8IloCplex23DisjunctiveCutCallbackIE5_8_(1),1750,6,5,13500,9,9,8,8,3751,1
1750_N8IloCplex23DisjunctiveCutCallbackIE5_8_(2),1750,6,5,13500,9,9,8,8,8248,1
1750_N8IloCplex23DisjunctiveCutCallbackIE5_8_(3),1750,6,5,13500,9,9,8,8,3828,1
1750_N8IloCplex23DisjunctiveCutCallbackIE5_8_(4),1750,6,5,13500,9,9,8,8,3887,1
1750_N8IloCplex23DisjunctiveCutCallbackIE5_8_(5),1750,6,5,13500,9,9,8,8,7971,1
1750_N8IloCplex23DisjunctiveCutCallbackIE5_8_(6),1750,6,5,13500,9,9,8,8,3880,1
1750_N8IloCplex23DisjunctiveCutCallbackIE5_8_(7),1750,6,5,13500,9,9,8,8,3833,1
1750_N8IloCplex23DisjunctiveCutCallbackIE5_8_(8),1750,6,5,13500,9,9,8,8,8107,1
1750_N8IloCplex23DisjunctiveCutCallbackIE5_8_(9),1750,6,5,13500,9,9,8,8,3783,1
