
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
2000_allbackManager6_9_(0),2000,7,6,15000,10,10,9,9,12841,1
2000_allbackManager6_9_(1),2000,7,6,15000,10,10,9,9,14289,1
2000_allbackManager6_9_(2),2000,7,6,15000,10,10,9,9,14224,1
2000_allbackManager6_9_(3),2000,7,6,15000,10,10,9,9,14376,1
2000_allbackManager6_9_(4),2000,7,6,15000,10,10,9,9,13767,1
2000_allbackManager6_9_(5),2000,7,6,15000,10,10,9,9,6284,1
2000_allbackManager6_9_(6),2000,7,6,15000,10,10,9,9,14135,1
2000_allbackManager6_9_(7),2000,7,6,15000,10,10,9,9,14239,1
2000_allbackManager6_9_(8),2000,7,6,15000,10,10,9,9,14058,1
2000_allbackManager6_9_(9),2000,7,6,15000,10,10,9,9,13265,1
