
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
2750_tractable has not been extracted by the IloAlgorithm8_11_(0),2750,9,8,18000,12,12,11,11,11240,1
2750_tractable has not been extracted by the IloAlgorithm8_11_(1),2750,9,8,18000,12,12,11,11,11253,1
2750_tractable has not been extracted by the IloAlgorithm8_11_(2),2750,9,8,18000,12,12,11,11,30574,1
2750_tractable has not been extracted by the IloAlgorithm8_11_(3),2750,9,8,18000,12,12,11,11,11011,1
2750_tractable has not been extracted by the IloAlgorithm8_11_(4),2750,9,8,18000,12,12,11,11,10491,1
2750_tractable has not been extracted by the IloAlgorithm8_11_(5),2750,9,8,18000,12,12,11,11,27433,1
2750_tractable has not been extracted by the IloAlgorithm8_11_(6),2750,9,8,18000,12,12,11,11,10811,1
2750_tractable has not been extracted by the IloAlgorithm8_11_(7),2750,9,8,18000,12,12,11,11,10804,1
2750_tractable has not been extracted by the IloAlgorithm8_11_(8),2750,9,8,18000,12,12,11,11,11129,1
2750_tractable has not been extracted by the IloAlgorithm8_11_(9),2750,9,8,18000,12,12,11,11,32025,1
