
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
3000_rnal error: non null index for empty stack.9_12_(0),3000,10,9,19500,13,13,12,12,40262,1
3000_rnal error: non null index for empty stack.9_12_(1),3000,10,9,19500,13,13,12,12,13783,1
3000_rnal error: non null index for empty stack.9_12_(2),3000,10,9,19500,13,13,12,12,14696,1
3000_rnal error: non null index for empty stack.9_12_(3),3000,10,9,19500,13,13,12,12,14402,1
3000_rnal error: non null index for empty stack.9_12_(4),3000,10,9,19500,13,13,12,12,39836,1
3000_rnal error: non null index for empty stack.9_12_(5),3000,10,9,19500,13,13,12,12,36666,1
3000_rnal error: non null index for empty stack.9_12_(6),3000,10,9,19500,13,13,12,12,37474,1
3000_rnal error: non null index for empty stack.9_12_(7),3000,10,9,19500,13,13,12,12,14292,1
3000_rnal error: non null index for empty stack.9_12_(8),3000,10,9,19500,13,13,12,12,38967,1
3000_rnal error: non null index for empty stack.9_12_(9),3000,10,9,19500,13,13,12,12,40313,1
