
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
3500_hLengthI11_14_(0),3500,12,11,22500,15,15,14,14,22159,1
3500_hLengthI11_14_(1),3500,12,11,22500,15,15,14,14,22673,1
3500_hLengthI11_14_(2),3500,12,11,22500,15,15,14,14,22986,1
3500_hLengthI11_14_(3),3500,12,11,22500,15,15,14,14,21213,1
3500_hLengthI11_14_(4),3500,12,11,22500,15,15,14,14,63556,1
3500_hLengthI11_14_(5),3500,12,11,22500,15,15,14,14,23412,1
3500_hLengthI11_14_(6),3500,12,11,22500,15,15,14,14,63943,1
3500_hLengthI11_14_(7),3500,12,11,22500,15,15,14,14,21831,1
3500_hLengthI11_14_(8),3500,12,11,22500,15,15,14,14,63127,1
3500_hLengthI11_14_(9),3500,12,11,22500,15,15,14,14,21988,1
