
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
500_))3_4_(0),500,4,3,4000,6,6,4,4,513,1
500_))3_4_(1),500,4,3,4000,6,6,4,4,796,1
500_))3_4_(2),500,4,3,4000,6,6,4,4,533,1
500_))3_4_(3),500,4,3,4000,6,6,4,4,566,1
500_))3_4_(4),500,4,3,4000,6,6,4,4,515,1
500_))3_4_(5),500,4,3,4000,6,6,4,4,524,1
500_))3_4_(6),500,4,3,4000,6,6,4,4,545,1
500_))3_4_(7),500,4,3,4000,6,6,4,4,786,1
500_))3_4_(8),500,4,3,4000,6,6,4,4,811,1
500_))3_4_(9),500,4,3,4000,6,6,4,4,525,1
