Metrics for Vertices: 1000, Edges:8000, Clusters:5, Terminals: 4, HubSize: 6, HubEdges: 6, Budget: 4
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
4,5,1599,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_4_(0),6,6,1,4,4,1000
4,5,1644,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_4_(1),6,6,1,4,4,1000
4,5,2655,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_4_(2),6,6,1,4,4,1000
4,5,1676,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_4_(3),6,6,1,4,4,1000
4,5,2655,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_4_(4),6,6,1,4,4,1000
4,5,2614,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_4_(5),6,6,1,4,4,1000
4,5,1679,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_4_(6),6,6,1,4,4,1000
4,5,2502,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_4_(7),6,6,1,4,4,1000
4,5,1606,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_4_(8),6,6,1,4,4,1000
4,5,1631,8000,1000_ GSA ADP Schedule Contract with IBM Corp.4_4_(9),6,6,1,4,4,1000
