Metrics for Vertices: 1500, Edges:12000, Clusters:5, Terminals: 4, HubSize: 7, HubEdges: 7, Budget: 5
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
5,5,4476,12000,1500_andleE4_5_(0),7,7,1,5,4,1500
5,5,4472,12000,1500_andleE4_5_(1),7,7,1,5,4,1500
5,5,4610,12000,1500_andleE4_5_(2),7,7,1,5,4,1500
5,5,4487,12000,1500_andleE4_5_(3),7,7,1,5,4,1500
5,5,4678,12000,1500_andleE4_5_(4),7,7,1,5,4,1500
5,5,4537,12000,1500_andleE4_5_(5),7,7,1,5,4,1500
5,5,4437,12000,1500_andleE4_5_(6),7,7,1,5,4,1500
5,5,2401,12000,1500_andleE4_5_(7),7,7,1,5,4,1500
5,5,2508,12000,1500_andleE4_5_(8),7,7,1,5,4,1500
5,5,4444,12000,1500_andleE4_5_(9),7,7,1,5,4,1500
