Metrics for Vertices: 1750, Edges:13500, Clusters:6, Terminals: 5, HubSize: 9, HubEdges: 9, Budget: 8
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
8,6,3704,13500,1750_ckIE5_8_(0),9,9,1,8,5,1750
8,6,3564,13500,1750_ckIE5_8_(1),9,9,1,8,5,1750
8,6,7687,13500,1750_ckIE5_8_(2),9,9,1,8,5,1750
8,6,3579,13500,1750_ckIE5_8_(3),9,9,1,8,5,1750
8,6,3632,13500,1750_ckIE5_8_(4),9,9,1,8,5,1750
8,6,7585,13500,1750_ckIE5_8_(5),9,9,1,8,5,1750
8,6,3717,13500,1750_ckIE5_8_(6),9,9,1,8,5,1750
8,6,3702,13500,1750_ckIE5_8_(7),9,9,1,8,5,1750
8,6,7536,13500,1750_ckIE5_8_(8),9,9,1,8,5,1750
8,6,3643,13500,1750_ckIE5_8_(9),9,9,1,8,5,1750
