Metrics for Vertices: 250, Edges:1750, Clusters:4, Terminals: 3, HubSize: 8, HubEdges: 8, Budget: 6
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
6,4,221,1750,250_3_6_(0),8,8,1,6,3,250
6,4,227,1750,250_3_6_(1),8,8,1,6,3,250
6,4,235,1750,250_3_6_(2),8,8,1,6,3,250
6,4,279,1750,250_3_6_(3),8,8,1,6,3,250
6,4,226,1750,250_3_6_(4),8,8,1,6,3,250
6,4,283,1750,250_3_6_(5),8,8,1,6,3,250
6,4,231,1750,250_3_6_(6),8,8,1,6,3,250
6,4,246,1750,250_3_6_(7),8,8,1,6,3,250
6,4,245,1750,250_3_6_(8),8,8,1,6,3,250
6,4,219,1750,250_3_6_(9),8,8,1,6,3,250
