Metrics for Vertices: 3000, Edges:19500, Clusters:10, Terminals: 9, HubSize: 13, HubEdges: 13, Budget: 12
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
12,10,40717,19500,3000_mpty stack.9_12_(0),13,13,1,12,9,3000
12,10,14144,19500,3000_mpty stack.9_12_(1),13,13,1,12,9,3000
12,10,14590,19500,3000_mpty stack.9_12_(2),13,13,1,12,9,3000
12,10,14797,19500,3000_mpty stack.9_12_(3),13,13,1,12,9,3000
12,10,38989,19500,3000_mpty stack.9_12_(4),13,13,1,12,9,3000
12,10,39204,19500,3000_mpty stack.9_12_(5),13,13,1,12,9,3000
12,10,39109,19500,3000_mpty stack.9_12_(6),13,13,1,12,9,3000
12,10,14264,19500,3000_mpty stack.9_12_(7),13,13,1,12,9,3000
12,10,34285,19500,3000_mpty stack.9_12_(8),13,13,1,12,9,3000
12,10,35354,19500,3000_mpty stack.9_12_(9),13,13,1,12,9,3000
