Metrics for Vertices: 3500, Edges:22500, Clusters:12, Terminals: 11, HubSize: 15, HubEdges: 15, Budget: 14
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
14,12,21200,22500,3500_hTransitEvalI11_14_(0),15,15,1,14,11,3500
14,12,22321,22500,3500_hTransitEvalI11_14_(1),15,15,1,14,11,3500
14,12,22879,22500,3500_hTransitEvalI11_14_(2),15,15,1,14,11,3500
14,12,21262,22500,3500_hTransitEvalI11_14_(3),15,15,1,14,11,3500
14,12,60864,22500,3500_hTransitEvalI11_14_(4),15,15,1,14,11,3500
14,12,22691,22500,3500_hTransitEvalI11_14_(5),15,15,1,14,11,3500
14,12,66623,22500,3500_hTransitEvalI11_14_(6),15,15,1,14,11,3500
14,12,21566,22500,3500_hTransitEvalI11_14_(7),15,15,1,14,11,3500
14,12,65090,22500,3500_hTransitEvalI11_14_(8),15,15,1,14,11,3500
14,12,21624,22500,3500_hTransitEvalI11_14_(9),15,15,1,14,11,3500
