Metrics for Vertices: 750, Edges:5750, Clusters:4, Terminals: 3, HubSize: 9, HubEdges: 9, Budget: 7
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
7,4,801,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_7_(0),9,9,1,7,3,750
7,4,1278,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_7_(1),9,9,1,7,3,750
7,4,1226,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_7_(2),9,9,1,7,3,750
7,4,833,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_7_(3),9,9,1,7,3,750
7,4,1209,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_7_(4),9,9,1,7,3,750
7,4,827,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_7_(5),9,9,1,7,3,750
7,4,1202,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_7_(6),9,9,1,7,3,750
7,4,1259,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_7_(7),9,9,1,7,3,750
7,4,880,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_7_(8),9,9,1,7,3,750
7,4,1259,5750,750_(IloInt) [with X = IloExtractable; IloInt = long int]3_7_(9),9,9,1,7,3,750
